No.,Label,x(km),Average,Minimum,Maximum
0,                         ,52.01,27.38,24.71,30.89
0,                         ,51.76,27.39,24.55,30.99
0,                         ,51.51,27.41,24.40,31.08
0,                         ,51.25,27.42,24.26,31.16
0,                         ,51.00,27.43,24.12,31.23
0,                         ,50.75,27.45,23.99,31.29
0,                         ,50.50,27.46,23.87,31.35
0,                         ,50.25,27.44,23.70,31.35
0,                         ,50.00,27.46,23.61,31.37
0,                         ,49.75,27.08,23.14,31.06
0,                         ,49.51,27.09,23.11,31.07
0,                         ,49.27,27.10,23.08,31.08
0,                         ,49.03,27.12,23.05,31.08
0,                         ,48.79,27.13,23.03,31.09
0,                         ,48.55,27.15,23.01,31.09
0,                         ,48.31,27.16,23.00,31.08
0,                         ,48.08,27.17,22.99,31.08
0,                         ,47.84,27.19,22.99,31.07
0,                         ,47.60,27.20,22.99,31.05
0,                         ,47.35,27.21,22.99,31.03
0,                         ,47.10,27.23,23.00,31.01
0,                         ,46.84,27.25,23.02,30.99
0,                         ,46.59,27.27,23.03,30.96
0,                         ,46.34,27.28,23.06,30.93
0,                         ,46.08,27.30,23.08,30.90
0,                         ,45.83,27.31,23.11,30.86
0,                         ,45.58,27.33,23.15,30.82
0,                         ,45.33,27.35,23.19,30.78
0,                         ,45.07,27.36,23.23,30.74
0,                         ,44.82,27.38,23.28,30.70
0,                         ,44.57,27.40,23.33,30.66
0,                         ,44.31,27.41,23.38,30.62
0,                         ,44.06,27.43,23.44,30.58
0,                         ,43.81,27.44,23.49,30.54
0,                         ,43.56,27.46,23.56,30.49
0,                         ,43.30,27.47,23.62,30.45
0,                         ,43.05,27.49,23.69,30.42
0,                         ,42.80,27.50,23.76,30.38
0,                         ,42.54,27.51,23.83,30.34
0,                         ,42.29,27.53,23.90,30.30
0,                         ,42.04,27.55,23.99,30.26
0,                         ,41.78,27.56,24.08,30.22
0,                         ,41.52,27.58,24.17,30.18
0,                         ,41.26,27.59,24.26,30.14
0,                         ,41.01,27.61,24.35,30.11
0,                         ,40.75,27.62,24.44,30.08
0,                         ,40.50,27.64,24.52,30.05
0,                         ,40.25,27.65,24.61,30.02
0,                         ,39.99,27.67,24.69,29.99
0,                         ,39.74,27.68,24.77,29.97
0,                         ,39.49,27.69,24.85,29.95
0,                         ,39.23,27.71,24.91,29.93
0,                         ,38.98,27.72,24.98,29.92
0,                         ,38.73,27.73,25.04,29.91
0,                         ,38.47,27.74,25.09,29.90
0,                         ,38.22,27.76,25.13,29.90
0,                         ,37.97,27.77,25.16,29.90
0,                         ,37.72,27.78,25.20,29.91
0,                         ,37.46,27.79,25.22,29.92
0,                         ,37.21,27.80,25.24,29.93
0,                         ,36.96,27.81,25.25,29.95
0,                         ,36.70,27.82,25.26,29.97
0,                         ,36.45,27.82,25.26,29.99
0,                         ,36.20,27.83,25.26,30.01
0,                         ,35.95,27.84,25.26,30.04
0,                         ,35.69,27.85,25.25,30.06
0,                         ,35.44,27.86,25.24,30.09
0,                         ,35.19,27.87,25.23,30.12
0,                         ,34.93,27.87,25.22,30.16
0,                         ,34.68,27.88,25.20,30.19
0,                         ,34.43,27.89,25.18,30.22
0,                         ,34.18,27.89,25.17,30.25
0,                         ,33.92,27.90,25.15,30.28
0,                         ,33.67,27.90,25.13,30.31
0,                         ,33.43,27.91,25.12,30.33
0,                         ,33.19,27.91,25.11,30.35
0,                         ,32.94,27.92,25.09,30.37
0,                         ,32.70,27.92,25.08,30.40
0,                         ,32.45,27.92,25.07,30.42
0,                         ,32.21,27.92,25.05,30.43
0,                         ,31.96,27.93,25.04,30.45
0,                         ,31.72,27.93,25.04,30.47
0,                         ,31.47,27.94,25.04,30.48
0,                         ,31.22,27.94,25.05,30.49
0,                         ,30.98,27.95,25.05,30.49
0,                         ,30.73,27.95,25.06,30.49
0,                         ,30.48,27.94,25.06,30.47
0,                         ,30.24,27.95,25.08,30.47
0,                         ,29.99,27.95,25.09,30.46
0,                         ,29.74,27.96,25.11,30.45
0,                         ,29.50,27.97,25.13,30.44
0,                         ,29.25,27.97,25.15,30.43
0,                         ,29.00,27.98,25.17,30.41
